questions,links
החלטות ועדת ערר,https://www.ganeytikva.org.il/ררע-תדעו-תוטלחה/.
חוקי עזר עירוניים,https://www.ganeytikva.org.il/םיינוריע-רזע-יקוח/.
סקר נכסים ומדידות - שאלות ותשובות,https://www.ganeytikva.org.il51w14a61s6we5d=weiverp?/2611/li.gro.avkityenag.www//:sptth
מחלקת נכסים והשכרת מרחבים,https://www.ganeytikva.org.il/םיסכנ-תקלחמ/.
טופס בקשה להשכרת מרחב,https://www.ganeytikva.org.il/בחרמ-תרכשהל-השקב-ספוט/.
אגף הנדסה,https://www.ganeytikva.org.il/הסדנה-ףגא/.
זימון תורים לועדה המקומית,https://www.ganeytikva.org.il/stnemtnioppa/
אתר ועדה מקומית לתכנון ובנייה,https://www.ganeytikva.org.ilxpsa.tluafed/segaP/li.gro.avkityenag.asadnah//:ptth
תכנית המתאר הכוללנית של גני תקווה,https://www.ganeytikva.org.il/הווקת-ינג-לש-תינללוכה-ראתמה-תינכת/.
אישור היעדר חובות (אישור לטאבו),https://www.ganeytikva.org.il/ובאטל-רושיא-תובוח-רדעיה-רושיא/.
רישוי עסקים,https://www.ganeytikva.org.il/םיקסע-יושיר/.
הרפורמה בחוק רישוי עסקים,https://www.ganeytikva.org.il/םיקסע-יושיר-קוחב-המרופרה/.
מהו צו רישוי עסקים,https://www.ganeytikva.org.il/םיקסע-יושיר-וצ-והמ/.
המפרט הרשותי של העירייה,https://www.ganeytikva.org.il/הצעומ-לש-יתושרה-טרפמה-7022620161-0/.
דרישות כלליות מעסקים,https://www.ganeytikva.org.il/םיקסעמ-תויללכ-תושירד-3043620161-0/.
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il/םיקסעמ-תוינטרפ-תושירד-0973620161-0/.
מעקב בקשה לקבלת רישיון עסק,https://www.ganeytikva.org.ilnigol/laab/#avkit_yenag=num?/li.oc.sysytic.latrop-yuhsir//:sptth
הגשת בקשה מקוונת לקבלת רישיון עסק,https://www.ganeytikva.org.ilavkit_yenag=num?/tseuqer_wen/li.oc.sysytic.latrop-yuhsir//:sptth
מערכת זימון תורים למחלקת רישוי ופיקוח עסקים,https://www.ganeytikva.org.il  42=di?/stnemtnioppa/li.gro.avkityenag.www//:sptth
פיקוח על הבניה והעסקים,https://www.ganeytikva.org.il/םיקסעהו-הינבה-לע-חוקיפ/.
הנחיות כלליות לעסקים,https://www.ganeytikva.org.il/םיקסעמ-תויללכ-תושירד/.
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il/םיקסעמ-תוינטרפ-תושירד/.
הנחיות לשימוש במפרט האחיד,https://www.ganeytikva.org.il/דיחאה-טרפמב-שומישל-תויחנה/.
עמדות טעינה,https://www.ganeytikva.org.il/הניעט-תודמע/.
תחבורה ציבורית,https://www.ganeytikva.org.il/תירוביצ-הרובחת/.
תלונה על קו אוטובוס,https://www.ganeytikva.org.il/סובוטוא-וק-לע-הנולת/.
מיזם רכב שיתופי  - בוחרים בתחבורה ירוקה ושיתופית,https://www.ganeytikva.org.il/תיפותישו-הקורי-הרובחתל-םירבוע-יפותיש-בכר-םזימ/.
מערכות לייצור אנרגיה מתחדשת על גגות מבני ציבור,https://www.ganeytikva.org.il/רוביצ-ינבמ-תוגג-לע-יראלוס-טקיורפ/.
מידע כללי וממשלתי על מערכות פוטו-וולטאיות,https://www.ganeytikva.org.il/תויראלוס-תוכרעמ-לע-יללכ-עדימ/.
אתרי פאנלים סולאריים בתחומי הרשות,https://www.ganeytikva.org.il/םייראלוס-םילנאפ/.
שאלות תשובות,https://www.ganeytikva.org.il/תובושת-תולאש/.
מקורות מידע נוספים,https://www.ganeytikva.org.il/םיפסונ-עדימ-תורוקמ/.
כלים חינוכיים,https://www.ganeytikva.org.il/םייכוניח-םילכ/.
נוהל הקמת גינת כלבים,https://www.ganeytikva.org.il/-1035102261-0/.
גזברות,https://www.ganeytikva.org.il/תונובשח-תלהנהו-תורבזג-ףגא/.
הנהלת חשבונות,https://www.ganeytikva.org.il/תונובשח-תלהנה/.
שכר,https://www.ganeytikva.org.il/רכש/.
תמיכות עירוניות,https://www.ganeytikva.org.il/תוינוריע-תוכימת/.
רכש,https://www.ganeytikva.org.il/שכר-תקלחמ/.
הכנסות וארנונה,https://www.ganeytikva.org.il/171/
אגף חזות פני העיר,https://www.ganeytikva.org.il/ריעה-ינפ-תוזח-ףגא/.
שירות וטרינרי,https://www.ganeytikva.org.il/ירנירטו-תוריש/.
מחלקת לוגיסטיקה,https://www.ganeytikva.org.il/הקיטסיגול-תקלחמ/.
השאלת ציוד לאבלים,https://www.ganeytikva.org.il/םילבאל-דויצ-תלאשה/.
"מפגעי תעבורה - תיקון, שיפוץ, שילוט",https://www.ganeytikva.org.il/טוליש-ץופיש-ןוקית-הרובעת-יעגפמ/.
מפגעי מזג אוויר,https://www.ganeytikva.org.il/ריווא-גזמ-יעגפמ/.
תחזוקה שוטפת ברחבי העיר,https://www.ganeytikva.org.il/ריעה-יבחרב-תפטוש-הקוזחת/.
תחזוקה שוטפת במוסדות חינוך וגני ילדים,https://www.ganeytikva.org.il/םידלי-ינגו-ךוניח-תודסומב-תפטוש-הקוזחת/.
אירועים מטעם העירייה – הקמה ופירוק,https://www.ganeytikva.org.il/קוריפו-המקה-הייריעה-םעטמ-םיעוריא/.
ליווי קבלני משנה בתחזוקה כללית,https://www.ganeytikva.org.il/תיללכ-הקוזחתב-הנשמ-ינלבק-יוויל/.
מחלקת גנים ונוף ומתקני משחק,https://www.ganeytikva.org.il/קחשמ-ינקתמו-ןוניג-תקלחמ/.
יצירת קשר עם מחלקת גנים ונוף,https://www.ganeytikva.org.il/ןוניג-תקלחמ-םע-רשק-תריצי/.
אישורי כריתת עצים,https://www.ganeytikva.org.il/םיצע-תתירכ-ירושיא/.
נוהל בקשת אישור כריתה,https://www.ganeytikva.org.il/התירכ-רושיא-תשקב-להונ/.
אישורים שניתנו,https://www.ganeytikva.org.ilseert_gnillef_orp/sediug/stnemtraped/eh/li.vog.www//:sptth
תכנית גינון שבועית בחתך רחובות במחלקת הגינון,https://www.ganeytikva.org.il/ןוניגה-תקלחמ-לש-הדובע-ימוחתו-תובוחר-ךתחב-תיעובש-ןוניג-תינכת/.
העצים של גני תקווה,https://www.ganeytikva.org.il/li.gro.seert-avkityenag.www//:sptth
מחלקת פיקוח עירוני,https://www.ganeytikva.org.il/ינוריע-חוקיפ-תקלחמ/.
נוהל מדיניות אכיפת חוקי עזר,https://www.ganeytikva.org.il/רזע-יקוח-תפיכא-תוינידמ-להונ/.
מדיניות אירועים פרטיים בפארקים ציבוריים,https://www.ganeytikva.org.il/םיירוביצ-םיקראפב-םייטרפ-םיעוריא-תוינידמ/.
"דו""חות חניה ופיקוח",https://www.ganeytikva.org.il/חוקיפו-הינח-תוח-וד/.
אכיפת איסור עישון,https://www.ganeytikva.org.il/ןושיע-רוסיא-תפיכא/.
פיקוח וחניה,https://www.ganeytikva.org.il/הינחו-חוקיפ/.
"מחלקת שפ""ע",https://www.ganeytikva.org.il/ע-פש-תקלחמ/.
נוהל הוצאה ופינוי גזם/גרוטאות ברחבי העיר,https://www.ganeytikva.org.il/ריעה-יבחרב-תואטורג-םזג-יוניפו-האצוה-להונ/.
"ועדה לאיכות סביבה ושפ""ע - פרוטוקולים",https://www.ganeytikva.org.ilcsed-etad=redro&3=yrogetac&0=raey?/slocotorp/.
ימי פינוי ונוהל הוצאת גזם וגרוטאות,https://www.ganeytikva.org.il/תואטורגו-םזג-תאצוה-להונו-יוניפ-ימי/.
עושים איכות סביבה - ממחזרים,https://www.ganeytikva.org.il/םירזחממ-הביבס-תוכיא-םישוע/.
פינוי אשפה,https://www.ganeytikva.org.il/הצעומה-יבחרב-תואטורג-םזג-יוניפו-האצוה-להונ/.
ימי פינוי אשפה ביתית ניקיון רחובות ומיקום מחזוריות לפי רחוב,https://www.ganeytikva.org.il/תובוחר-יפל-תוירוזחמ-םוקימו-תיתיב-הפשא-יוניפ-ימי/.
מחלקת חשמל ותאורה,https://www.ganeytikva.org.il/הרואתו-למשח-תקלחמ/.
מתן שירות אחזקה לתאורת רחוב,https://www.ganeytikva.org.il/בוחר-תרואתל-הקזחא-תוריש-ןתמ/.
מתן שירות אחזקה למוסדות החינוך וציבורי,https://www.ganeytikva.org.il/ירוביצו-ךוניחה-תודסומל-הקזחא-תוריש-ןתמ/.
מתן שירות לאירועי העירייה,https://www.ganeytikva.org.il/הייריעה-יעוריאל-תוריש-ןתמ/.
ביצוע בדיקות קרינה במוסדות חינוך,https://www.ganeytikva.org.il/ךוניח-תודסומב-הנירק-תוקידב-עוציב/.
הקצאת מקום חנייה לנכים,https://www.ganeytikva.org.il/םיכנל-היינח-םוקמ-תאצקה/.
מחלקת אחזקת מערכות,https://www.ganeytikva.org.il/תוכרעמ-תקזחא-תקלחמ/.
אנרגיה סולארית – מערכות פוטו וולטאי,https://www.ganeytikva.org.il/יאטלוו-וטופ-תוכרעמ-תיראלוס-היגרנא/.
מעליות ומחסומים,https://www.ganeytikva.org.il/םימוסחמו-תוילעמ/.
מערכות מיזוג אוויר מרכזיות,https://www.ganeytikva.org.il/תויזכרמ-ריווא-גוזימ-תוכרעמ/.
מערכות שחרור עשן,https://www.ganeytikva.org.il/ןשע-רורחש-תוכרעמ/.
"חדרי משאבות ומז""חים",https://www.ganeytikva.org.il/םיח-זמו-תובאשמ-ירדח/.
בריכות ביולוגיות,https://www.ganeytikva.org.il/תויגולויב-תוכירב/.
"מחלקת בטחון, בטיחות וחירום",https://www.ganeytikva.org.il/םוריחו-תוחיטב-ןוחטבל-ףגא/.
סטטוס גני תקווה פיקוד העורף,https://www.ganeytikva.org.il/ףרועה-דוקיפ-הווקת-ינג-סוטטס/.
היערכות לחירום - הנחיות מצילות חיים,https://www.ganeytikva.org.il/6703189561-detacilpud/.
רשימת מקלטים לשעת חירום,https://www.ganeytikva.org.il/1524839761-detacilpud/.
מיזם 100,https://www.ganeytikva.org.il/001-םזימ/.
יחידת סער,https://www.ganeytikva.org.il/רעס-תדיחי/.
הנחיות לציבור במזג אוויר סוער,https://www.ganeytikva.org.il/רעוס-ריווא-גזמב-רוביצל-תויחנה/.
מצלמות אבטחה ביישוב,https://www.ganeytikva.org.il/בושייב-החטבא-תומלצמ/.
משמר השכונה,https://www.ganeytikva.org.il/יתליהק-רוטישו-םיבדנתמ-סיסב/.
אגף קהילה וקידום עסקים ומעמד האישה,https://www.ganeytikva.org.il/םיקסע-םודיקו-הליהק-ףגא/.
מחוברות - קהילת הנשים של גני תקווה,https://www.ganeytikva.org.il/םישנ-תליהק-תורבוחמ/.
צילומי תדמית של מחוברות,https://www.ganeytikva.org.il/תימדת-ימוליצ/.
מחוברות לטוב,https://www.ganeytikva.org.il/8573997961-detacilpud/.
חמישי נשי,https://www.ganeytikva.org.il/ ישנ ישימח/.
קורס מבוא - NLP ומיינדפולנס,https://www.ganeytikva.org.il/-5832054461-0/.
קורס שיווק דיגיטלי,https://www.ganeytikva.org.il/1928535461-detacilpud/.
קורס תכנון פיננסי,https://www.ganeytikva.org.il/1338535461-detacilpud/.
קורס נומרולוגיה התפתחותית,https://www.ganeytikva.org.il/תיתוחתפתה-היגולורמונ-סרוק/.
דייט עם אימוש!,https://www.ganeytikva.org.il/7751606861-detacilpud/.
גורג'ס | את הכי גורג'ס כשאת תורמת,https://www.ganeytikva.org.il/תמרות-תאשכ-ס-גרוג-יכה-תא-ס-גרוג/.
מרגישים בבית | הרצאות להורים אצלכם בבניין,https://www.ganeytikva.org.il/6204271861-detacilpud/.
מתחשבים - בגני תקווה לכל בית יהיה מחשב!,https://www.ganeytikva.org.il/תיב-לכל-בשחמל-םיגאוד/.
עסקים בגני תקווה,https://www.ganeytikva.org.il/הווקת-ינגב-םיקסע/.
מחלקת תרבות ואירועים,https://www.ganeytikva.org.il/םיעוריאו-תוברת-תקלחמ/.
אגף דוברות והסברה,https://www.ganeytikva.org.il/בשותל-תורישו-הרבסה-תורבוד-ףגא/.
אגף אסטרטגיה חדשנות ודיגיטל,https://www.ganeytikva.org.il/לטיגידו-תונשדח-היגטרטסא-ףגא/.
פרויקט 'עיר חכמה',https://www.ganeytikva.org.il/המכח-ריע/.
READ YOUR METER,https://www.ganeytikva.org.il/retem-ruoy-daer/.
תוכנת אופיס בחינם לתלמידי ומורי מערכת החינוך,https://www.ganeytikva.org.il/ךוניחה-תכרעמ-ירומו-ידימלתל-םניחב-סיפוא-תנכות/.
אגף משאבי אנוש,https://www.ganeytikva.org.il/שונא-יבאשמ-תקלחמ/.
לשכה משפטית,https://www.ganeytikva.org.il/תיטפשמ-הכשל/.
יחידת ביטוח ותביעות,https://www.ganeytikva.org.il/תועיבתו-חוטיב-תדיחי/.
מבקרת העירייה ותלונות הציבור,https://www.ganeytikva.org.il/רוביצה-תונולתו-הייריעה-תרקבמ/.
דוחות הממונה על תלונות הציבור,https://www.ganeytikva.org.il/רוביצה-תוינפ-לע-הנוממה-תוחוד/.
טופס הגשת תלונה לממונה על תלונות הציבור בעירייה,https://www.ganeytikva.org.il/הצעומב-רוביצה-תונולת-לע-הנוממל-הנולת-תשגה-ספוט/.
תרבות יהודית,https://www.ganeytikva.org.il/תידוהי-תוברתל-הקלחמה/.
אגף ספורט ובריאות,https://www.ganeytikva.org.il/תואירבו-טרופס-ףגא/.
"""עיר בריאה""",https://www.ganeytikva.org.il/האירב-ריע/.
אתר אפשרי בריא,https://www.ganeytikva.org.il/li.vog.irabirahsfe//:sptth
רשת ערים בריאות,https://www.ganeytikva.org.il/li.oc.seiticyhtlaeh.www//:ptth
"הכירו את נועה אפל, נערה בת 18 עם צרכים מיוחדים",https://www.ganeytikva.org.il/םידחוימ-םיכרצ-םע-81-תב-הרענ-לפא-העונ-תא-וריכה/.
"הכירו את אורי דוד, בן ה-13 וחצי, הלומד בחטיבת ""הראשונים",https://www.ganeytikva.org.il/םינושארה-תביטחב-דמולה-יצחו-31-ה-ןב-דוד-ירוא-תא-וריכה/.
"הכירו את אורי ונועם, ילדים ממועדונית הרווחה, תושבת גני תקווה",https://www.ganeytikva.org.il/הווקת-ינג-תבשות-החוורה-תינודעוממ-םידלי-םעונו-ירוא-תא-וריכה/.
"הכירו את גאיה פרידמן, נערה עם צרכים מיוחדים, תושבת גני תקווה:",https://www.ganeytikva.org.il/הווקת-ינג-תבשות-םידחוימ-םיכרצ-םע-הרענ-ןמדירפ-היאג-תא-וריכה/.
גנית,https://www.ganeytikva.org.il/תינג/.
גילגל,https://www.ganeytikva.org.il/לגליג/.
חברת פסגות,https://www.ganeytikva.org.il/תוגספ-תרבח/.
barcodes,https://www.ganeytikva.org.il/sedocrab/.
"ברכת ראש המועצה, ליזי דלריצ'ה | חגי תשרי תשפ""ב",https://www.ganeytikva.org.il/ירשת-יגחל-ה-צירלד-יזיל-הצעומה-שאר-תכרב/.
מנהל.ות גן,https://www.ganeytikva.org.il/ןג-תולהנמ/.
עמוד ראשי,https://www.ganeytikva.org.il/.
תנאי שימוש,https://www.ganeytikva.org.il/smret/.
מדיניות פרטיות,https://www.ganeytikva.org.il/ycavirp/.
מרחב אישי לתושב/ת,https://www.ganeytikva.org.il/retnec-vahsot/.
FOOTER,https://www.ganeytikva.org.il/retoof/.
לומר מילה טובה,https://www.ganeytikva.org.il/הבוט-הלימ-רמול/.
הצהרת נגישות,https://www.ganeytikva.org.il/ytilibissecca/.
עסקים,https://www.ganeytikva.org.il/םיקסע/.
מתעסקים בעסקים,https://www.ganeytikva.org.il/םיקסעב-םיקסעתמ/.
לוח עסקים,https://www.ganeytikva.org.il/539/.
רישוי עסקים,https://www.ganeytikva.org.il/024/.
קידום עסקים,https://www.ganeytikva.org.il/958/.
QBIX מרחב עבודה עירוני,https://www.ganeytikva.org.il/li.oc.xibq//:sptth
איכות הסביבה,https://www.ganeytikva.org.il/הביבסה-תוכיא/.
חתולי רחוב,https://www.ganeytikva.org.il/בוחר-ילותח-תלכאה/.
